Name,Column 16,Latitude,Longitude,Status,IUC,Race,State,Denomination,Expenditure,LT_Invest,Faculty_FT,Faculty_FTE,Enrollment_HC,Enrollment_FTE,MDiv Tuitition
Shaw University Divinity School,"35.7702890976896, -78.63923822031515",35.7702891,-78.63923822,ACCRED,U,B,NC,General Baptist State Convention of North Carolina,661,0,3,9,65,43,"13,494"
International Reformed University and Seminary,"34.0720277472692, -118.29216168969305",34.07202775,-118.2921617,ASSOC,U,A,CA,General Assembly of World Presbyterian Church,663,0,0,4,64,65,"4,220"
Chapman Seminary of Oakland City University,"38.33832214325225, -87.3526915146641",38.33832214,-87.35269151,ACCRED,U,W,IN,General Association of General Baptists,520,0.5,1,2,3,2,"8,250"
Puritan Reformed Theological Seminary,"42.98582417761398, -85.59668895679478",42.98582418,-85.59668896,ACCRED,I,W,MI,Heritage Reformed Congregations (USA and Canada),"6,098",2.9,11,12,501,195,"7,900"
Central Baptist Theological Seminary of Minneapolis,"44.988435679438076, -93.42729212416826",44.98843568,-93.42729212,ACCRED,I,W,MN,Independent Baptist,"2,278",4.5,2,5,96,41,"9,370"
Tyndale Seminary of Tyndale University,"43.79725359920345, -79.39244243717218",43.7972536,-79.39244244,ACCRED,C,W,ON,Inter/Multidenominational,"23,166",0,20,45,873,510,"40,824"
Union Theological Seminary,"40.811371025366334, -73.96188774894657",40.81137103,-73.96188775,ACCRED,I,W,NY,Inter/Multidenominational,"38,265",114.7,20,33,234,219,"31,472"
Vancouver School of Theology,"49.27030886719362, -123.25104381601993",49.27030887,-123.2510438,ACCRED,I,N,BC,Inter/Multidenominational,"4,994",0,6,9,196,97,"9,500"
Wake Forest University School of Divinity,"36.13513235317022, -80.2789288031083",36.13513235,-80.2789288,ACCRED,U,W,NC,Inter/Multidenominational,"6,994",26.6,11,11,71,63,"21,600"
Wesley Biblical Seminary,"32.39993808052516, -90.11140338975295",32.39993808,-90.11140339,ACCRED,I,W,MS,Inter/Multidenominational,"2,710",4.4,5,11,171,85,"15,450"
Westminster Theological Seminary,"40.098808337205455, -75.17589908760554",40.09880834,-75.17589909,ACCRED,I,W,PA,Inter/Multidenominational,"26,082",42.9,10,40,"1,183",402,"30,362"
Asbury Theological Seminary,"37.862046661015604, -84.65995583372602",37.86204666,-84.65995583,ACCRED,I,W,KY,Inter/Multidenominational,"50,088",252.4,43,61,"1,665",888,"23,554"
Associated Canadian Theological Schools (ACTS) of Trinity Western University,"49.14048424128688, -122.59685310623343",49.14048424,-122.5968531,ACCRED,C,W,BC,Inter/Multidenominational,"3,305",0.4,6,6,279,139,"17,066"
Atlantic School of Theology,"44.62686837810826, -63.58060386412018",44.62686838,-63.58060386,ACCRED,I,N,NS,Inter/Multidenominational,"3,577",7.3,9,9,82,42,"7,590"
Beeson Divinity School of Samford University,"33.46413481918393, -86.7937247799221",33.46413482,-86.79372478,ACCRED,U,W,AL,Inter/Multidenominational,"4,033",72.4,16,18,130,106,"18,731"
Briercrest College and Seminary,"50.457345849441396, -105.81500656198912",50.45734585,-105.8150066,ACCRED,C,W,SK,Inter/Multidenominational,"2,555",0.7,4,7,140,69,"12,125"
Christian Witness Theological Seminary,"37.39715538437348, -121.89400820675878",37.39715538,-121.8940082,ACCRED,I,A,CA,Inter/Multidenominational,"1,861",2.2,5,7,93,66,"9,328"
Columbia Biblical Seminary of Columbia International University,"34.076346293733074, -81.07316247804988",34.07634629,-81.07316248,ACCRED,C,A,SC,Inter/Multidenominational,949,0,6,18,696,182,"14,950"
Cornerstone Theological Seminary,"42.982468634267086, -85.59699329303032",42.98246863,-85.59699329,ACCRED,C,W,MI,Inter/Multidenominational,"1,295",5.5,6,8,99,46,"10,656"
Denver Seminary,"39.6005676716599, -105.02250989132625",39.60056767,-105.0225099,ACCRED,I,W,CO,Inter/Multidenominational,"17,639",59.4,25,51,828,406,"14,340"
GETS Theological Seminary,"34.0780451632522, -117.8836232320215",34.07804516,-117.8836232,ASSOC,I,A,CA,Inter/Multidenominational,"1,371",0,7,7,85,45,0
Gordon-Conwell Theological Seminary,"42.32754043255285, -71.08291152698212",42.32754043,-71.08291153,ACCRED,I,W,MA,Inter/Multidenominational,"31,350",68.4,27,41,"1,358",725,"25,665"
Grace School of Theology,"30.17532212495713, -95.47961070702128",30.17532212,-95.47961071,ACCRED,I,N,TX,Inter/Multidenominational,"6,519",0,5,12,333,134,"7,720"
Graduate Theological Union,"37.875533265559476, -122.26188690303975",37.87553327,-122.2618869,ACCRED,I,W,CA,Inter/Multidenominational,"11,895",49.7,10,13,160,239,0
Grand Canyon Theological Seminary at Grand Canyon University,"33.51247117473629, -112.12757965108462",33.51247117,-112.1275797,ACCRED,U,W,AZ,Inter/Multidenominational,905,0,9,53,436,380,"12,635"
Hartford International University for Religion and Peace,"41.769809060131806, -72.7077628470553",41.76980906,-72.70776285,ACCRED,I,W,CT,Inter/Multidenominational,"7,812",69.3,5,8,109,67,0
Interdenominational Theological Center,"33.753960710989006, -84.40942633203329",33.75396071,-84.40942633,ACCRED,I,B,GA,Inter/Multidenominational,"8,341",6.5,7,7,60,48,"16,272"
